,Company,Symbol,Portfolio%,??????Price,Chg,% Chg,
255,Halliburton Company,HAL,0.07%,???34.95,-0.01,(-0.03%),
256,"Moderna, Inc.",MRNA,0.07%,???97.48,1.28,-1.33%,
257,The Kroger Co.,KR,0.07%,???48.53,0.16,-0.33%,
258,Vici Properties Inc.,VICI,0.07%,???29.56,0.17,-0.58%,
259,Discover Financial Services,DFS,0.07%,???123.25,0.6,-0.49%,
260,Dollar General Corp.,DG,0.07%,???143.27,-1.03,(-0.71%),
261,Dollar Tree Inc.,DLTR,0.07%,???146.14,-2.76,(-1.85%),
262,Fortive Corporation,FTV,0.07%,???86.29,0.17,-0.20%,
263,Xylem Inc,XYL,0.07%,???125.63,-0.06,(-0.05%),
264,"Dupont De Nemours, Inc.",DD,0.07%,???69.63,0.03,-0.04%,
265,Baker Hughes Company,BKR,0.07%,???29.48,-0.24,(-0.81%),
266,"Consolidated Edison, Inc.",ED,0.07%,???86.65,-0.23,(-0.26%),
267,Keurig Dr Pepper Inc.,KDP,0.07%,???30.03,0.53,-1.80%,
268,Public Service Enterprise Group Incorporated,PEG,0.07%,???62.63,1.05,-1.71%,
269,Charter Comm Inc Del Cl a,CHTR,0.07%,???288.34,-1.66,(-0.57%),
270,"Extra Space Storage, Inc.",EXR,0.07%,???138.29,-1.93,(-1.38%),
271,Ansys Inc,ANSS,0.07%,???333.09,-2.68,(-0.80%),
272,"The Hartford Financial Services Group, Inc.",HIG,0.07%,???95.61,-0.13,(-0.14%),
273,The Kraft Heinz Company,KHC,0.07%,???35.54,-0.26,(-0.73%),
274,Willis Towers Watson Public Limited Companys,WTW,0.07%,???275.18,0.12,-0.04%,
275,Archer Daniels Midland Company,ADM,0.07%,???53.01,0.22,-0.42%,
276,The Hershey Company,HSY,0.07%,???186.21,-0.96,(-0.51%),
277,Royal Caribbean Group,RCL,0.07%,???122.09,-1.16,(-0.94%),
278,Devon Energy Corporation,DVN,0.07%,???44.03,-0.29,(-0.65%),
279,"Cbre Group, Inc.",CBRE,0.06%,???91.20,0.32,-0.35%,
280,"Ulta Beauty, Inc.",ULTA,0.06%,???559.16,-2.25,(-0.40%),
281,"Cardinal Health, Inc.",CAH,0.06%,???111.66,2.05,-1.87%,
282,"Keysight Technologies, Inc.",KEYS,0.06%,???153.75,0.99,-0.65%,
283,Resmed Inc.,RMD,0.06%,???173.96,-7.03,(-3.88%),
284,"Delta Air Lines, Inc.",DAL,0.06%,???42.01,0.03,-0.07%,
285,"West Pharmaceutical Services, Inc.",WST,0.06%,???357.31,-0.98,(-0.27%),
286,"Zimmer Biomet Holdings, Inc.",ZBH,0.06%,???124.13,-2.24,(-1.77%),
287,Tractor Supply Co,TSCO,0.06%,???252.60,1.4,-0.56%,
288,Mettler-Toledo International,MTD,0.06%,"???1,243.57",30.36,-2.50%,
289,Howmet Aerospace Inc.,HWM,0.06%,???66.76,0.79,-1.20%,
290,Edison International,EIX,0.06%,???67.85,0.14,-0.21%,
291,Lyondellbasell Industries N.v. Class A,LYB,0.06%,???98.79,-0.21,(-0.21%),
292,Hp Inc.,HPQ,0.06%,???28.72,-0.11,(-0.38%),
293,Corning Incorporated,GLW,0.06%,???32.09,-0.34,(-1.05%),
294,Wabtec Inc.,WAB,0.06%,???139.49,1.79,-1.30%,
295,T Rowe Price Group Inc,TROW,0.06%,???112.35,1.49,-1.34%,
296,"Church & Dwight Co., Inc.",CHD,0.06%,???100.12,0.23,-0.23%,
297,"Avalonbay Communities, Inc.",AVB,0.06%,???176.37,2,-1.15%,
298,"Wec Energy Group, Inc.",WEC,0.06%,???77.20,-0.26,(-0.34%),
299,"Nvr, Inc.",NVR,0.06%,"???7,584.99",41.88,-0.56%,
300,Weyerhaeuser Company,WY,0.06%,???34.23,1.33,-4.04%,
301,Broadridge Financial Solutions Inc,BR,0.06%,???201.45,1.44,-0.72%,
302,Take-Two Interactive Software Inc,TTWO,0.06%,???147.48,-0.46,(-0.31%),
303,"Builders Firstsource, Inc.",BLDR,0.06%,???193.27,0.11,-0.06%,
304,"Molina Healthcare, Inc.",MOH,0.05%,???401.78,1.66,-0.41%,
305,Steris Plc,STE,0.05%,???231.34,-1.18,(-0.51%),
306,Dover Corporation,DOV,0.05%,???164.36,0.27,-0.16%,
307,"Pultegroup, Inc.",PHM,0.05%,???106.43,-0.43,(-0.40%),
308,Ebay Inc,EBAY,0.05%,???47.89,3.5,-7.88%,
309,"American Water Works Company, Inc",AWK,0.05%,???117.91,-0.12,(-0.10%),
310,Fifth Third Bancorp,FITB,0.05%,???33.58,-0.39,(-1.15%),
311,M&t Bank Corp.,MTB,0.05%,???138.13,-0.6,(-0.43%),
312,State Street Corporation,STT,0.05%,???73.37,-0.11,(-0.15%),
313,Sba Communications Corp,SBAC,0.05%,???205.16,5.21,-2.61%,
314,"Raymond James Financial, Inc.",RJF,0.05%,???120.43,0.72,-0.60%,
315,Align Technology Inc,ALGN,0.05%,???302.39,-10.67,(-3.41%),
316,Iron Mountain Inc.,IRM,0.05%,???75.36,1.36,-1.84%,
317,Aptiv Plc,APTV,0.05%,???78.77,-0.06,(-0.08%),
318,Dte Energy Company,DTE,0.05%,???108.10,0.77,-0.72%,
319,Targa Resources Corp.,TRGP,0.05%,???97.40,0.32,-0.33%,
320,"Ptc, Inc",PTC,0.05%,???184.29,1.93,-1.06%,
321,Illumina Inc,ILMN,0.05%,???140.98,1.22,-0.87%,
322,Baxter International Inc.,BAX,0.05%,???41.56,-0.29,(-0.69%),
323,Entergy Corporation,ETR,0.05%,???100.57,-0.2,(-0.20%),
324,Genuine Parts Company,GPC,0.05%,???151.75,1.18,-0.78%,
325,"Cboe Global Markets, Inc.",CBOE,0.05%,???195.78,0.92,-0.47%,
326,Garmin Ltd,GRMN,0.05%,???137.30,2.61,-1.94%,
327,"Darden Restaurants, Inc.",DRI,0.05%,???170.45,0.92,-0.54%,
328,Southwest Airlines Co.,LUV,0.05%,???34.47,-0.05,(-0.14%),
329,Eversource Energy,ES,0.05%,???58.61,-0.66,(-1.11%),
330,Equity Residential,EQR,0.05%,???59.72,0.25,-0.42%,
331,"Fleetcor Technologies, Inc.",FLT,0.05%,???275.66,-2.89,(-1.04%),
332,Teledyne Technologies Incorporated,TDY,0.05%,???425.43,0.53,-0.12%,
333,Steel Dynamics Inc,STLD,0.05%,???132.49,-0.48,(-0.36%),
334,Las Vegas Sands Corp.,LVS,0.05%,???53.62,0.22,-0.41%,
335,"Brown & Brown, Inc.",BRO,0.05%,???84.78,0.67,-0.80%,
336,Hubbell Incorporated,HUBB,0.05%,???370.82,3.33,-0.91%,
337,International Flavors & Fragrances Inc.,IFF,0.05%,???73.21,-1.23,(-1.65%),
338,Ball Corporation,BALL,0.05%,???62.82,0.21,-0.34%,
339,Coterra Energy Inc.,CTRA,0.05%,???25.54,-0.44,(-1.69%),
340,Waters Corp,WAT,0.05%,???337.68,5.03,-1.51%,
341,Ppl Corporation,PPL,0.05%,???26.24,-0.19,(-0.72%),
342,Invitation Homes Inc.,INVH,0.05%,???33.65,0.12,-0.36%,
343,"Axon Enterprise, Inc.",AXON,0.04%,???309.22,37.4,-13.76%,
344,Hewlett Packard Enterprise Company,HPE,0.04%,???14.86,-0.03,(-0.20%),
345,"Nasdaq, Inc.",NDAQ,0.04%,???56.32,-0.05,(-0.09%),
346,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,???8.71,0.01,-0.11%,
347,Veralto Corporation,VLTO,0.04%,???87.57,-0.22,(-0.25%),
348,Firstenergy Corp.,FE,0.04%,???36.84,-0.03,(-0.08%),
349,Clorox Company,CLX,0.04%,???153.48,1.59,-1.05%,
350,"The Cooper Companies, Inc.",COO,0.04%,???94.51,0.77,-0.82%,
351,"Alexandria Real Estate Equities, Inc.",ARE,0.04%,???121.40,-0.3,(-0.25%),
352,Jacobs Solutions Inc.,J,0.04%,???147.13,-0.16,(-0.11%),
353,"Tyler Technologies, Inc.",TYL,0.04%,???438.71,2.32,-0.53%,
354,Ameren Corporation,AEE,0.04%,???71.49,0.17,-0.24%,
355,Hologic Inc,HOLX,0.04%,???74.12,-1.24,(-1.65%),
356,Huntington Bancshares Inc,HBAN,0.04%,???12.90,-0.12,(-0.92%),
357,Western Digital Corp.,WDC,0.04%,???57.46,-0.02,(-0.03%),
358,Laboratory Corporation of America Holdings,LH,0.04%,???214.80,-0.89,(-0.41%),
359,"Netapp, Inc",NTAP,0.04%,???88.03,0.86,-0.99%,
360,"Expedia Group, Inc.",EXPE,0.04%,???135.53,-0.71,(-0.52%),
361,Jabil Inc.,JBL,0.04%,???142.09,-0.61,(-0.43%),
362,Idex Corporation,IEX,0.04%,???236.68,0.63,-0.27%,
363,Cincinnati Financial Corp,CINF,0.04%,???113.70,0.38,-0.34%,
364,Omnicom Group Inc.,OMC,0.04%,???88.10,-1.06,(-1.19%),
365,"Principal Financial Group, Inc.",PFG,0.04%,???80.56,-0.12,(-0.15%),
366,Factset Research Systems,FDS,0.04%,???465.99,4.45,-0.96%,
367,W.R. Berkley Corporation,WRB,0.04%,???84.56,-0.32,(-0.38%),
368,"Expeditors International of Washington, Inc.",EXPD,0.04%,???118.77,0.04,-0.03%,
369,"Epam Systems, Inc.",EPAM,0.04%,???305.51,-1.53,(-0.50%),
370,Avery Dennison Corp.,AVY,0.04%,???214.16,0.06,-0.03%,
371,"Ventas, Inc.",VTR,0.04%,???42.48,-0.16,(-0.38%),
372,"Centerpoint Energy, Inc.",CNP,0.04%,???27.48,-0.17,(-0.61%),
373,Verisign Inc,VRSN,0.04%,???194.41,0.85,-0.44%,
374,"Leidos Holdings, Inc.",LDOS,0.04%,???126.56,-0.02,(-0.02%),
375,Seagate Technology Holdings Plcs,STX,0.04%,???91.61,0.91,-1.00%,
376,"Textron, Inc.",TXT,0.04%,???87.60,-0.07,(-0.08%),
377,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,???67.73,-0.11,(-0.16%),
378,Masco Corporation,MAS,0.04%,???76.70,0.07,-0.09%,
379,Jb Hunt Transport Services Inc,JBHT,0.04%,???205.20,-2.33,(-1.12%),
380,Regions Financial Corp.,RF,0.04%,???18.57,-0.01,(-0.05%),
381,Northern Trust Corp,NTRS,0.04%,???81.44,-0.34,(-0.42%),
382,Atmos Energy Corporation,ATO,0.04%,???112.46,-0.07,(-0.06%),
383,Skyworks Solutions Inc,SWKS,0.04%,???101.82,-2.35,(-2.26%),
384,Cms Energy Corporation,CMS,0.04%,???57.02,-0.31,(-0.54%),
385,Synchrony Financial,SYF,0.04%,???40.87,-0.14,(-0.34%),
386,"Enphase Energy, Inc.",ENPH,0.04%,???119.10,-2.01,(-1.66%),
387,Akamai Technologies Inc,AKAM,0.04%,???108.14,0.38,-0.35%,
388,Viatris Inc.,VTRS,0.04%,???12.29,-0.94,(-7.11%),
389,Domino's Pizza Inc.,DPZ,0.04%,???446.37,0.1,-0.02%,
390,"Everest Group, Ltd.",EG,0.04%,???370.35,2.64,-0.72%,
391,"Teradyne, Inc.",TER,0.04%,???100.35,0.08,-0.08%,
392,Packaging Corp of America,PKG,0.04%,???176.36,1.58,-0.90%,
393,"First Solar, Inc.",FSLR,0.04%,???149.25,4.26,-2.94%,
394,"Tyson Foods, Inc.",TSN,0.04%,???53.89,-0.24,(-0.44%),
395,Trimble Inc.,TRMB,0.04%,???60.91,-0.87,(-1.41%),
396,"Cf Industries Holding, Inc.",CF,0.04%,???79.90,0.12,-0.15%,
397,Eqt Corp,EQT,0.04%,???36.58,0.06,-0.16%,
398,"Walgreens Boots Alliance, Inc",WBA,0.04%,???21.16,-0.47,(-2.17%),
399,Celanese Corporation,CE,0.04%,???149.42,-0.17,(-0.11%),
400,Pool Corporation,POOL,0.04%,???393.09,2.03,-0.52%,
401,Kellanova,K,0.03%,???56.11,0.48,-0.86%,
402,Carnival Corporation,CCL,0.03%,???15.47,-0.44,(-2.77%),
403,"Best Buy Company, Inc.",BBY,0.03%,???79.68,0.62,-0.78%,
404,"United Airlines Holdings, Inc.",UAL,0.03%,???44.76,-0.14,(-0.31%),
405,"Lamb Weston Holdings, Inc.",LW,0.03%,???100.98,0.16,-0.16%,
406,Nordson Corp,NDSN,0.03%,???266.96,-1.04,(-0.39%),
407,"Essex Property Trust, Inc",ESS,0.03%,???229.63,1.9,-0.83%,
408,Snap-on Incorporated,SNA,0.03%,???275.19,1.43,-0.52%,
409,"Mid-America Apartment Communities, Inc.",MAA,0.03%,???125.83,0.94,-0.75%,
410,Zebra Technologies Corporation,ZBRA,0.03%,???272.80,-2.98,(-1.08%),
411,Albemarle Corporation,ALB,0.03%,???132.06,3.47,-2.70%,
412,"Citizens Financial Group, Inc.",CFG,0.03%,???30.74,-0.22,(-0.71%),
413,"Host Hotels & Resorts, Inc.",HST,0.03%,???20.63,0.4,-1.98%,
414,Marathon Oil Corporation,MRO,0.03%,???24.12,-0.17,(-0.70%),
415,Quest Diagnostics Inc.,DGX,0.03%,???125.66,-0.77,(-0.61%),
416,Lkq Corporation,LKQ,0.03%,???52.77,-0.16,(-0.30%),
417,Loews Corporation,L,0.03%,???75.06,0.07,-0.09%,
418,Bunge Global Sa,BG,0.03%,???93.74,0.62,-0.67%,
419,"Stanley Black & Decker, Inc.",SWK,0.03%,???87.97,-0.53,(-0.60%),
420,"Conagra Brands, Inc.",CAG,0.03%,???28.13,0.16,-0.57%,
421,Live Nation Entertainment Inc.,LYV,0.03%,???94.28,0.74,-0.79%,
422,Amcor Plcs,AMCR,0.03%,???8.87,-0.08,(-0.89%),
423,The J.M. Smucker Company,SJM,0.03%,???121.83,-0.81,(-0.66%),
424,"Revvity, Inc.",RVTY,0.03%,???107.35,1.72,-1.63%,
425,Keycorp,KEY,0.03%,???13.92,-0.22,(-1.56%),
426,"Charles River Laboratories International, Inc.",CRL,0.03%,???256.73,3.78,-1.49%,
427,Henry (Jack) & Associates,JKHY,0.03%,???173.33,-1.86,(-1.06%),
428,Pentair Plc,PNR,0.03%,???76.67,0.16,-0.21%,
429,"The Interpublic Group of Companies, Inc.",IPG,0.03%,???31.74,-0.66,(-2.04%),
430,Gen Digital Inc.,GEN,0.03%,???21.40,-0.02,(-0.09%),
431,"Rollins, Inc.",ROL,0.03%,???43.47,0.78,-1.83%,
432,Alliant Energy Corporation,LNT,0.03%,???47.56,-0.26,(-0.54%),
433,"Nrg Energy, Inc.",NRG,0.03%,???54.70,0.66,-1.22%,
434,Juniper Networks Inc,JNPR,0.03%,???37.05,-0.11,(-0.30%),
435,Insulet Corporation,PODD,0.03%,???163.60,-3.02,(-1.81%),
436,Kimco Realty Corp.,KIM,0.03%,???19.63,0.07,-0.36%,
437,Carmax Inc.,KMX,0.03%,???76.71,0.05,-0.07%,
438,International Paper Co.,IP,0.03%,???34.62,0.42,-1.23%,
439,Molson Coors Beverage Company Class B,TAP,0.03%,???62.89,0.13,-0.21%,
440,"Huntington Ingalls Industries, Inc.",HII,0.03%,???291.85,2.36,-0.82%,
441,Mgm Resorts International,MGM,0.03%,???42.19,0.19,-0.45%,
442,"Evergy, Inc.",EVRG,0.03%,???49.79,-0.41,(-0.82%),
443,Bio-Techne Corp.,TECH,0.03%,???74.39,1.18,-1.61%,
444,Allegion Public Limited Company,ALLE,0.03%,???128.16,-1.13,(-0.87%),
445,Incyte Genomics Inc,INCY,0.03%,???59.98,-1.02,(-1.67%),
446,Westrock Company,WRK,0.03%,???45.03,0.36,-0.81%,
447,"F5, Inc.",FFIV,0.03%,???185.72,0.28,-0.15%,
448,"Qorvo, Inc.",QRVO,0.03%,???112.05,-1.96,(-1.72%),
449,"Dayforce, Inc.",DAY,0.03%,???71.05,-0.86,(-1.20%),
450,"Tapestry, Inc.",TPR,0.03%,???47.72,0.19,-0.40%,
451,Globe Life Inc.,GL,0.03%,???128.40,0.2,-0.16%,
452,Teleflex Incorporated,TFX,0.03%,???224.79,-1.25,(-0.55%),
453,"Udr, Inc.",UDR,0.02%,???35.41,0.33,-0.94%,
454,"Bath & Body Works, Inc.",BBWI,0.02%,???48.33,0.92,-1.94%,
455,Henry Schein Inc,HSIC,0.02%,???76.49,-1.36,(-1.75%),
456,"Catalent, Inc.",CTLT,0.02%,???57.94,-0.26,(-0.45%),
457,Aes Corporation,AES,0.02%,???15.06,-0.04,(-0.26%),
458,Nisource Inc.,NI,0.02%,???25.85,-0.17,(-0.65%),
459,The Mosaic Company,MOS,0.02%,???30.89,-0.33,(-1.06%),
460,Brown-Forman Corporation Class B,BF.B,0.02%,???58.49,0.87,-1.51%,
461,Eastman Chemical Company,EMN,0.02%,???86.49,0.34,-0.39%,
462,News Corporation Class A,NWSA,0.02%,???26.33,-0.1,(-0.38%),
463,"Universal Health Services, Inc. Class B",UHS,0.02%,???161.73,-4.06,(-2.45%),
464,A.O. Smith Corporation,AOS,0.02%,???82.89,0.59,-0.72%,
465,American Airlines Group Inc.,AAL,0.02%,???15.46,-0.08,(-0.51%),
466,"Match Group, Inc",MTCH,0.02%,???35.91,-1.41,(-3.78%),
467,Regency Centers Corporation,REG,0.02%,???60.97,0.44,-0.73%,
468,Wynn Resorts Ltd,WYNN,0.02%,???102.86,0.17,-0.17%,
469,Camden Property Trust,CPT,0.02%,???93.77,0.54,-0.58%,
470,"Assurant, Inc.",AIZ,0.02%,???182.25,0.5,-0.28%,
471,Apa Corporation,APA,0.02%,???29.95,-0.25,(-0.83%),
472,"Boston Properties, Inc.",BXP,0.02%,???63.82,-1.1,(-1.69%),
473,"Healthpeak Properties, Inc.",PEAK,0.02%,???16.55,0.31,-1.91%,
474,Hormel Foods Corporation,HRL,0.02%,???30.83,-0.07,(-0.23%),
475,"Paycom Software, Inc.",PAYC,0.02%,???183.60,0.5,-0.27%,
476,"Caesars Entertainment, Inc.",CZR,0.02%,???41.44,-0.52,(-1.24%),
477,"Etsy, Inc.",ETSY,0.02%,???71.00,-1.08,(-1.50%),
478,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,???74.39,0.17,-0.23%,
479,Robert Half Inc.,RHI,0.02%,???80.17,-0.77,(-0.95%),
480,Campbell Soup Company,CPB,0.02%,???42.15,-0.11,(-0.26%),
481,Marketaxess Holdings Inc.,MKTX,0.02%,???212.59,-1.38,(-0.64%),
482,Pinnacle West Capital Corporation,PNW,0.02%,???66.90,-2.11,(-3.06%),
483,"Franklin Resources, Inc.",BEN,0.02%,???27.01,-0.08,(-0.30%),
484,Ralph Lauren Corporation,RL,0.02%,???183.70,1.1,-0.60%,
485,Fox Corporation Class A,FOXA,0.02%,???29.44,-0.13,(-0.44%),
486,Dentsply Sirona Inc.,XRAY,0.02%,???33.30,-0.38,(-1.13%),
487,Federal Realty Investment Trust,FRT,0.02%,???98.67,0.76,-0.78%,
488,Borgwarner Inc.,BWA,0.02%,???30.78,0.1,-0.33%,
489,"Bio-Rad Laboratories, Inc.Class A",BIO,0.02%,???330.35,0.61,-0.18%,
490,Invesco Ltd,IVZ,0.02%,???15.29,-0.11,(-0.71%),
491,Generac Holdings Inc,GNRC,0.02%,???111.06,-0.29,(-0.26%),
492,Davita Inc.,DVA,0.02%,???126.97,-0.63,(-0.49%),
493,Fmc Corporation,FMC,0.02%,???51.29,-1.49,(-2.82%),
494,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,???18.70,-0.39,(-2.04%),
495,Comerica Incorporated,CMA,0.02%,???48.52,-0.78,(-1.58%),
496,"Hasbro, Inc.",HAS,0.01%,???50.42,0.14,-0.28%,
497,Whirlpool Corp.,WHR,0.01%,???107.63,-0.19,(-0.18%),
498,"Mohawk Industries, Inc.",MHK,0.01%,???116.11,1.06,-0.92%,
499,Zions Bancorporation N.a.,ZION,0.01%,???38.08,-0.6,(-1.55%),
500,Paramount Global Class B,PARA,0.01%,???11.06,-0.19,(-1.69%),
501,V.F. Corporation,VFC,0.01%,???16.17,0.1,-0.62%,
502,Fox Corporation Class B,FOX,0.01%,???26.96,-0.15,(-0.55%),
503,News Corporation Class B,NWS,0.01%,???27.48,-0.09,(-0.33%),
